Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Top Category
Athmar Park,39.70396000000005,-105.01038999999997,Super Star Asian Cuisine,39.710007449028794,-105.01371473911989,Dim Sum Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Vinh Xuong Bakery (2),39.71060865562615,-105.01523210053624,Vietnamese Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Chain Reaction Brewery,39.699576951542156,-105.00133458143358,Brewery,Nightlife Spot
Athmar Park,39.70396000000005,-105.01038999999997,The Green Solution - Alameda Ave @ West Denver Cannabis Dispensary,39.71153,-105.01829,Marijuana Dispensary,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,Costco Wholesale,39.708594250562086,-105.01428004608469,Department Store,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,New Saigon,39.70484848169492,-105.02481143459917,Vietnamese Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Pho Duy,39.69975760481266,-105.02538192342972,Vietnamese Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Stranahan's Colorado Whiskey,39.71225253865977,-104.99857584514214,Distillery,Professional & Other Places
Athmar Park,39.70396000000005,-105.01038999999997,Pacific Ocean International Supermarket,39.71040841038027,-105.01361225613765,Supermarket,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,Level 7 Games,39.7114668714168,-105.01558107545411,Video Game Store,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,Star Kitchen,39.69731156829677,-105.02427906891246,Dim Sum Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Ba Le Sandwiches,39.69782700892866,-105.0247488208365,Sandwich Place,Food
Athmar Park,39.70396000000005,-105.01038999999997,Tacos Rapidos,39.71142164090778,-105.01498911498871,Mexican Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Lao Wang Noodle House,39.69951270406571,-105.02552636137948,Chinese Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Pho 79,39.702559126686815,-105.0253969547549,Vietnamese Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Saigon Bowl,39.71053723397363,-105.02557763017008,Vietnamese Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,The Asian Cajun,39.710982552718875,-105.01598310557416,Asian Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Pho 96,39.6964756192911,-105.02471275566126,Vietnamese Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,The Crawling Crab,39.702356435304864,-105.02536298874821,Cajun / Creole Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Stranahan's Whiskey Tour,39.71220846779672,-104.99853109291519,Whisky Bar,Nightlife Spot
Athmar Park,39.70396000000005,-105.01038999999997,Colorado Harvest Company,39.6991473836401,-104.9990325522211,Marijuana Dispensary,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,Tarasco's New Latino Cuisine,39.70806063007014,-105.02463386457579,Mexican Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Huston Lake Park,39.69965535176167,-105.0160234729517,Park,Outdoors & Recreation
Athmar Park,39.70396000000005,-105.01038999999997,China Jade,39.70984450926134,-105.02587960989267,Dim Sum Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Kings Land Chinese Seafood,39.71060904708068,-105.01465813872233,Dim Sum Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Las Tortugas,39.71151,-105.00981,Mexican Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Taqueria La Calle,39.711365551550834,-105.01025946887681,Mexican Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Pho Ta,39.709801718349006,-105.01375081077138,Vietnamese Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Starbucks,39.71075133003787,-105.0223291600773,Coffee Shop,Food
Athmar Park,39.70396000000005,-105.01038999999997,Wingstop,39.711533888288045,-105.01139977087466,Wings Joint,Food
Athmar Park,39.70396000000005,-105.01038999999997,Fritangas Mexican Restaurant,39.71084,-105.02622,Mexican Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,J's Noodle & New Thai,39.6994886699044,-105.02540371326408,Thai Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Family Dollar,39.69706871693948,-105.01053240554711,Discount Store,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,Suvipa Thai,39.698139,-105.025388,Thai Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,The Empress Seafood Restaurant,39.711454572887256,-105.02332518578582,Dim Sum Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Hong Kong BBQ,39.697696379665466,-105.02473012462832,Chinese Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,McDonald's,39.7107579,-105.0234839,Fast Food Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Little Caesars Pizza,39.71153299023702,-105.01130854941775,Pizza Place,Food
Athmar Park,39.70396000000005,-105.01038999999997,Viet's Restaurant,39.71044817367608,-105.0258251261135,Vietnamese Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Walgreens,39.71078729242074,-105.02464699882694,Pharmacy,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,SUBWAY,39.71127878130932,-105.02082539319322,Sandwich Place,Food
Athmar Park,39.70396000000005,-105.01038999999997,Vinh Xuong Bakery,39.70986087389628,-105.02602616572749,Bakery,Food
Athmar Park,39.70396000000005,-105.01038999999997,7-Eleven,39.7116422,-105.0141042,Convenience Store,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,7-Eleven,39.7006688616204,-105.024557411671,Convenience Store,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,Los gallitos,39.71096072922559,-105.01879324125447,Mexican Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Lollicup,39.697765434570016,-105.02468043415719,Café,Food
Athmar Park,39.70396000000005,-105.01038999999997,Dairy Queen,39.71147442568259,-105.02404913306236,Fast Food Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,Pho 555,39.697033940603646,-105.02482333992006,Vietnamese Restaurant,Food
Athmar Park,39.70396000000005,-105.01038999999997,FedEx Office,39.695471,-104.995362,Shipping Store,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,Associated Wholesale,39.69393001748755,-105.0158019801613,Flower Shop,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,Godsman Park,39.69374367354204,-105.01588503681987,Park,Outdoors & Recreation
Athmar Park,39.70396000000005,-105.01038999999997,National Barricade Co Of Denver Inc,39.695881235793316,-105.00013485443849,Clothing Store,Shop & Service
Athmar Park,39.70396000000005,-105.01038999999997,Sanderson Gulch Trail,39.6914104086887,-105.005542168324,Trail,Outdoors & Recreation
Athmar Park,39.70396000000005,-105.01038999999997,Sanderson Gulch Park,39.69189873698225,-105.00354766845703,Park,Outdoors & Recreation
Athmar Park,39.70396000000005,-105.01038999999997,BC Surf & Sport Warehouse,39.696485474677274,-104.99472495250681,Athletics & Sports,Outdoors & Recreation
Athmar Park,39.70396000000005,-105.01038999999997,King Soopers Bakery Plant,39.717718,-105.014906,Factory,Professional & Other Places
Auraria,39.74577000000005,-105.01001999999994,Kurios- Cirque Du Soleil,39.74499693971773,-105.01330000192296,Circus,Arts & Entertainment
Auraria,39.74577000000005,-105.01001999999994,Pepsi Center,39.748548950912436,-105.00763361318566,Stadium,Arts & Entertainment
Auraria,39.74577000000005,-105.01001999999994,Tivoli Brewing Company,39.745494457729656,-105.00547491891221,Brewery,Nightlife Spot
Auraria,39.74577000000005,-105.01001999999994,LUZIA - Cirque du Soleil,39.744862620941625,-105.01356057519158,Circus,Arts & Entertainment
Auraria,39.74577000000005,-105.01001999999994,Children's Museum of Denver,39.748706891446325,-105.01706134102001,Museum,Arts & Entertainment
Auraria,39.74577000000005,-105.01001999999994,SpringHill Suites Denver Downtown,39.7474574,-105.0039776,Hotel,Travel & Transport
Auraria,39.74577000000005,-105.01001999999994,Euclid Hall Bar & Kitchen,39.747613,-105.000033,American Restaurant,Food
Auraria,39.74577000000005,-105.01001999999994,Orangetheory Fitness Union Station,39.75098128400561,-105.0037155557359,Gym,Outdoors & Recreation
Auraria,39.74577000000005,-105.01001999999994,Rhein Haus,39.74834632084779,-105.00053658658578,German Restaurant,Food
Auraria,39.74577000000005,-105.01001999999994,Broncos Stadium at Mile High,39.74390067113495,-105.02013074674686,Football Stadium,Arts & Entertainment
Auraria,39.74577000000005,-105.01001999999994,Larimer Square,39.750099812675025,-105.0010583589036,Plaza,Outdoors & Recreation
Auraria,39.74577000000005,-105.01001999999994,The Denver Center for the Performing Arts,39.74582361807942,-104.99912079629519,General Entertainment,Arts & Entertainment
Auraria,39.74577000000005,-105.01001999999994,Rioja,39.747793447894765,-104.9992456016569,Mediterranean Restaurant,Food
Auraria,39.74577000000005,-105.01001999999994,Coohills,39.750764003689326,-105.0038316101289,French Restaurant,Food
Auraria,39.74577000000005,-105.01001999999994,Osteria Marco,39.74807953965701,-104.99899093411048,Italian Restaurant,Food
